tournament,bid,seed,rWon,code,school,gender,speaks,phouse,location,state,grad,numGender,facPhouse,facInstate,numInstate
Alta,Quarters,36,4,Albany EK,Albany,female,112.9,0,Utah,California,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,99,2,Albuquerque JP,Albuquerque,female,105.5,0,Utah,New Mexico,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,49,3,Arcadia KW,Arcadia,female,114.2,0,Utah,California,NA,0,non-Powerhouse,outofstate,0
Alta,Quarters,35,4,Arcadia VL,Arcadia,male,113,0,Utah,California,2018,1,non-Powerhouse,outofstate,0
Alta,Quarters,102,1,Aspen ED,Aspen,female,110.7,0,Utah,Colorado,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,92,2,Bingham KB,Bingham,female,109.2,0,Utah,Utah,2017,0,non-Powerhouse,instate,1
Alta,Quarters,55,3,Bingham NR,Bingham,male,112.8,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,98,2,Boise AH,Boise,female,107.5,0,Utah,Idaho,2017,0,non-Powerhouse,outofstate,0
Alta,Quarters,93,2,Boise KJ,Boise,male,108,0,Utah,Idaho,2017,1,non-Powerhouse,outofstate,0
Alta,Quarters,117,0,Brighton DW,Brighton,male,98.5,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,76,3,Brighton SR,Brighton,male,107.2,0,Utah,Utah,NA,1,non-Powerhouse,instate,1
Alta,Quarters,30,4,Brighton ZS,Brighton,male,114,0,Utah,Utah,2016,1,non-Powerhouse,instate,1
Alta,Quarters,84,2,Centennial DR,Centennial,male,110.8,0,Utah,Idaho,2016,1,non-Powerhouse,outofstate,0
Alta,Quarters,50,3,Centennial KM,Centennial,female,114.1,0,Utah,Idaho,2016,0,non-Powerhouse,outofstate,0
Alta,Quarters,97,2,Centennial MS,Centennial,female,107.5,0,Utah,Idaho,2018,0,non-Powerhouse,outofstate,0
Alta,Quarters,39,4,College Prep DB,College Prep,female,112.4,0,Utah,California,2017,0,non-Powerhouse,outofstate,0
