code,tournament,bid,seed,rWon,school,gender,speaks,phouse,location,state,grad,numGender,facPhouse,facInstate,numInstate,trips,doubs,octas,quarters,semis,finals,elimsw,gotBid,facGotBid
Arcadia KW,Alta,Quarters,49,3,Arcadia,female,114.2,0,Utah,California,NA,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brighton SR,Alta,Quarters,76,3,Brighton,male,107.2,0,Utah,Utah,NA,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Juan Diego Catholic EG,Alta,Quarters,112,1,Juan Diego Catholic,female,106,0,Utah,NA,NA,0,non-Powerhouse,NA,NA,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Juan Diego Catholic EN,Alta,Quarters,107,1,Juan Diego Catholic,female,109.2,0,Utah,NA,NA,0,non-Powerhouse,NA,NA,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Venture TC,Alta,Quarters,53,3,Venture,male,113,0,Utah,California,NA,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River AA,Alta,Quarters,96,2,Green River,female,107.8,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River KB,Alta,Quarters,104,1,Green River,female,110.1,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River MM,Alta,Quarters,116,0,Green River,female,109.7,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River RH,Alta,Quarters,103,1,Green River,female,110.4,0,Utah,Wyoming,2019,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Jordan SC,Alta,Quarters,101,2,Jordan,female,88.06,0,Utah,Utah,2019,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
West KN,Alta,Quarters,41,4,West,male,112.1,0,Utah,Utah,2019,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Albuquerque JP,Alta,Quarters,99,2,Albuquerque,female,105.5,0,Utah,New Mexico,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Arcadia VL,Alta,Quarters,35,4,Arcadia,male,113,0,Utah,California,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Centennial MS,Alta,Quarters,97,2,Centennial,female,107.5,0,Utah,Idaho,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
College Prep SD,Alta,Quarters,68,3,College Prep,female,110.9,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
College Prep ZD,Alta,Quarters,82,2,College Prep,female,111.3,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Corner Canyon PB,Alta,Quarters,65,3,Corner Canyon,male,111,0,Utah,Utah,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Grantsville DC,Alta,Quarters,90,2,Grantsville,male,109.5,0,Utah,Utah,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River AG,Alta,Quarters,83,2,Green River,female,111.2,0,Utah,Wyoming,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River CK,Alta,Quarters,114,1,Green River,male,104,0,Utah,Wyoming,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Green River DH,Alta,Quarters,75,3,Green River,male,108,0,Utah,Wyoming,2018,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker SL,Alta,Quarters,40,4,Harker,female,112.3,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard-Westlake IP,Alta,Quarters,7,5,Harvard-Westlake,male,116.4,1,Utah,California,2018,1,Powerhouse,outofstate,0,NA,1,1,1,1,1,5,1,Bid
Immaculate Heart DD,Alta,Quarters,13,5,Immaculate Heart,female,115.3,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Jordan JW,Alta,Quarters,100,2,Jordan,male,104,0,Utah,Utah,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Layton JT,Alta,Quarters,115,1,Layton,male,102.6,0,Utah,Utah,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola GC,Alta,Quarters,25,4,Loyola,male,114.7,1,Utah,California,2018,1,Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Loyola NT,Alta,Quarters,63,3,Loyola,male,111.2,1,Utah,California,2018,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough CC,Alta,Quarters,59,3,Marlborough,female,112.1,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough KR,Alta,Quarters,73,3,Marlborough,female,110.1,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough MC,Alta,Quarters,26,4,Marlborough,female,114.7,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Mission San Jose LS,Alta,Quarters,12,5,Mission San Jose,female,115.5,0,Utah,California,2018,0,non-Powerhouse,outofstate,0,NA,1,1,1,0,-1,2,1,Bid
Mission San Jose RS,Alta,Quarters,31,4,Mission San Jose,male,114,0,Utah,California,2018,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
