"","code","tournament","bid","seed","rWon","school","gender","speaks","phouse","location","state","grad","numGender","facPhouse","facInstate","numInstate","trips","doubs","octas","quarters","semis","finals","elimsw"
"1","Aberdeen Central AB","Blake","Quarters",90,1,"Aberdeen Central","female",110.8,0,"Minnesota","South Dakota","2016",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"2","Aberdeen Central SM","Blake","Quarters",47,3,"Aberdeen Central","male",113.3,0,"Minnesota","South Dakota","2017",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"3","Achievement First AA","Yale","Quarters",146,1,"Achievement First","female",104.6,0,"Connecticut","New York","2016",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"4","Achievement First MN","Yale","Quarters",147,0,"Achievement First","female",108,0,"Connecticut","New York","2017",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"5","Acton Boxborough AW","Princeton","Semis",93,3,"Acton Boxborough","female",111.2,0,"New Jersey","Massachusetts","2018",0,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"6","Acton Boxborough JL","Yale","Quarters",94,3,"Acton Boxborough","male",109.74,0,"Connecticut","Massachusetts","2016",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"7","Albany EK","Alta","Quarters",36,4,"Albany","female",112.9,0,"Utah","California","2017",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"8","Albany EK","College Prep","Quarters",100,1,"Albany","female",113.9,0,"California","California","2017",0,"non-Powerhouse","instate",1,-1,-1,-1,-1,-1,-1,-6
"9","Albany EK","Hollywood","Finals",40,3,"Albany","male",111.5,0,"California","California","2017",1,"non-Powerhouse","instate",1,NA,-1,-1,-1,-1,-1,-5
"10","Albany EK","Meadows","Quarters",62,1,"Albany","female",114.33,0,"Nevada","California","2017",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"11","Albuquerque JP","Alta","Quarters",99,2,"Albuquerque","female",105.5,0,"Utah","New Mexico","2018",0,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"12","American Heritage AD","Apple Valley","Octas",66,4,"American Heritage Boca Delray","male",141.8,0,"Minnesota","Florida","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"13","American Heritage Boca Delray AD","Grapevine","Semis",79,2,"American Heritage Boca Delray","male",82.5,0,"Texas","Florida","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"14","American Heritage Boca Delray AD","Valley","Octas",60,3,"American Heritage Boca Delray","male",113.4,0,"Iowa","Florida","2018",1,"non-Powerhouse","outofstate",0,-1,-1,-1,-1,-1,-1,-6
"15","American Heritage Boca Delray EM","Grapevine","Semis",90,1,"American Heritage Boca Delray","male",83.3,0,"Texas","Florida","2018",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"16","American Heritage DM","Blake","Quarters",27,4,"American Heritage Plantation","male",115,0,"Minnesota","Florida","2018",1,"non-Powerhouse","outofstate",0,NA,1,0,-1,-1,-1,-2
"17","American Heritage JY","Apple Valley","Octas",50,4,"American Heritage Plantation","male",143.1,0,"Minnesota","Florida","2016",1,"non-Powerhouse","outofstate",0,NA,-1,-1,-1,-1,-1,-5
"18","American Heritage Pla DM","Glenbrooks","Octas",11,6,"American Heritage Plantation","male",145.6,0,"Illinois","Florida","2018",1,"non-Powerhouse","outofstate",0,NA,0,-1,-1,-1,-1,-4
"19","American Heritage Plantation DM","Valley","Octas",26,4,"American Heritage Plantation","male",115.7,0,"Iowa","Florida","2018",1,"non-Powerhouse","outofstate",0,1,0,-1,-1,-1,-1,-3
