tournament,code,bid,seed,rWon,school,gender,speaks,phouse,location,state,grad,trips,doubs,octas,quarters,semis,finals,numGender,facPhouse,numInstate,facInstate
Grapevine,American Heritage Boca Delray AD,Semis,79,2,American Heritage Boca Delray,male,82.5,0,Texas,Florida,2018,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,American Heritage Boca Delray EM,Semis,90,1,American Heritage Boca Delray,male,83.3,0,Texas,Florida,2018,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Anderson IS,Semis,75,2,Anderson,male,83.5,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Anderson JT,Semis,98,1,Anderson,male,81.6,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Boca Raton Community NM,Semis,78,2,Boca Raton Community,male,82.8,0,Texas,Florida,2018,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
Grapevine,Cedar Park MG,Semis,11,4,Cedar Park,female,87.3,0,Texas,Texas,2017,NA,1,0,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Cedar Park MT,Semis,9,4,Cedar Park,female,88.2,0,Texas,Texas,2017,NA,1,0,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Colleyville Heritage AS,Semis,69,2,Colleyville Heritage,female,83.9,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Colleyville Heritage ASa,Semis,94,1,Colleyville Heritage,male,82.7,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,1,instate
Grapevine,Colleyville Heritage MS,Semis,68,2,Colleyville Heritage,female,84,0,Texas,Texas,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Colleyville Heritage SK,Semis,93,1,Colleyville Heritage,female,83.2,0,Texas,Texas,2018,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Cy-Fair CM,Semis,4,5,Cy-Fair,female,87.6,0,Texas,Texas,2016,NA,1,1,0,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Cy-Fair TW,Semis,31,3,Cy-Fair,female,86.5,0,Texas,Texas,2018,NA,0,-1,-1,-1,-1,0,nonpowerhouse,1,instate
Grapevine,Denver East AH,Semis,56,2,Denver East,female,85,0,Texas,Colorado,2017,NA,-1,-1,-1,-1,-1,0,nonpowerhouse,0,outofstate
Grapevine,Denver East BO,Semis,88,1,Denver East,male,83.5,0,Texas,Colorado,2016,NA,-1,-1,-1,-1,-1,1,nonpowerhouse,0,outofstate
