tournament,code,trips,doubs,octas,quarters,semis,finals
Grapevine,Greenhill BE,,1,1,1,0,-1
Grapevine,Strake Jesuit CP SM,,1,1,1,1,1
Grapevine,Strake Jesuit CP RC,,1,1,0,-1,-1
Grapevine,Cy-Fair CM,,1,1,0,-1,-1
Grapevine,Strake Jesuit CP RB,,1,0,-1,-1,-1
Grapevine,Law Magnet DD,,1,1,1,0,-1
Grapevine,Greenhill GB,,1,0,-1,-1,-1
Grapevine,Montgomery WP,,1,1,0,-1,-1
Grapevine,Cedar Park MT,,1,0,-1,-1,-1
Grapevine,Dulles KS,,1,1,0,-1,-1
Grapevine,Cedar Park MG,,1,0,-1,-1,-1
Grapevine,Dulles NB,,1,1,1,1,0
Grapevine,Marcus LH,,0,-1,-1,-1,-1
Grapevine,Edmond Santa Fe IM,,0,-1,-1,-1,-1
Grapevine,Northland Christian MP,,1,0,-1,-1,-1
Grapevine,Liberty Christian BS,,0,-1,-1,-1,-1
Grapevine,Plano East Senior AK,,1,0,-1,-1,-1
Grapevine,Montgomery MB,,0,-1,-1,-1,-1
Grapevine,Episcopal AB,,1,0,-1,-1,-1
Grapevine,Kinkaid JY,,1,0,-1,-1,-1
Grapevine,Westlake VM,,0,-1,-1,-1,-1
Grapevine,Strake Jesuit CP WL,,0,-1,-1,-1,-1
Grapevine,Westlake DB,,0,-1,-1,-1,-1
Grapevine,Winston Churchill KH,,0,-1,-1,-1,-1
Grapevine,Houston Memorial PK,,0,-1,-1,-1,-1
Grapevine,Hockaday KK,,0,-1,-1,-1,-1
Grapevine,Westwood SN,,0,-1,-1,-1,-1
Grapevine,Dulles AW,,0,-1,-1,-1,-1
Grapevine,Strake Jesuit CP KF,,0,-1,-1,-1,-1
Grapevine,Northland Christian ML,,0,-1,-1,-1,-1
Grapevine,Cy-Fair TW,,0,-1,-1,-1,-1
Grapevine,Hockaday ED,,0,-1,-1,-1,-1
Grapevine,Dulles KL,,-1,-1,-1,-1,-1
Grapevine,Strake Jesuit CP ML,,-1,-1,-1,-1,-1
Grapevine,Westwood NS,,-1,-1,-1,-1,-1
Grapevine,Plano East Senior AB,,-1,-1,-1,-1,-1
Grapevine,Plano Senior ES,,-1,-1,-1,-1,-1
Grapevine,Hockaday LJ,,-1,-1,-1,-1,-1
Grapevine,Law Magnet JM,,-1,-1,-1,-1,-1
Grapevine,Holy Cross TL,,-1,-1,-1,-1,-1
Grapevine,Harker ZD,,-1,-1,-1,-1,-1
Grapevine,Hebron AN,,-1,-1,-1,-1,-1
Grapevine,Edmond North AP,,-1,-1,-1,-1,-1
Grapevine,Lake Travis KE,,-1,-1,-1,-1,-1
Grapevine,Kingwood RG,,-1,-1,-1,-1,-1
Grapevine,Norman CS,,-1,-1,-1,-1,-1
Grapevine,Kinkaid SS,,-1,-1,-1,-1,-1
Grapevine,Harvard-Westlake SP,,-1,-1,-1,-1,-1
Grapevine,Hebron AS,,-1,-1,-1,-1,-1
Grapevine,Holy Cross RS,,-1,-1,-1,-1,-1
Grapevine,Strake Jesuit CP AS,,-1,-1,-1,-1,-1
Grapevine,Norman KH,,-1,-1,-1,-1,-1
Grapevine,Winston Churchill JL,,-1,-1,-1,-1,-1
Grapevine,Edmond North PL,,-1,-1,-1,-1,-1
Grapevine,Westwood SD,,-1,-1,-1,-1,-1
Grapevine,Denver East AH,,-1,-1,-1,-1,-1
Grapevine,Harvard-Westlake MG,,-1,-1,-1,-1,-1
