tournament,code,aff1,win1,aff2,win2,aff3,win3,aff4,win4,aff5,win5,aff6,win6
Loyola,(Brentwood CH),1,0,0,1,1,1,0,1,0,1,1,0
Loyola,(Brentwood EL),1,0,0,1,0,0,1,0,0,1,1,0
Loyola,(Brentwood JDe),1,0,0,0,0,0,1,1,1,0,0,0
Loyola,(Brentwood JR),1,1,0,1,1,1,0,1,0,0,1,0
Loyola,(Brentwood KM),1,0,0,0,0,0,1,1,1,1,0,0
Loyola,(Brentwood WJ),0,1,1,0,0,0,1,0,1,1,0,0
Loyola,(Chaminade CP ER),1,1,-1,1,0,1,1,1,0,1,1,0
Loyola,(Clovis North RGi),1,0,0,1,1,0,0,0,0,1,1,0
Loyola,(Clovis North SD),1,0,0,1,0,0,1,0,1,0,0,0
Loyola,(Crossroads NS),1,1,0,0,0,1,1,1,1,1,0,1
Loyola,(Del Mar AS),1,1,0,0,0,0,1,1,1,0,0,1
Loyola,(Del Mar NK),0,0,1,1,0,1,1,0,0,0,1,1
Loyola,(Del Mar SH),0,0,1,0,1,1,0,1,0,0,1,1
Loyola,(Elite of Irvine CL),1,0,0,0,1,0,0,0,0,0,1,0
Loyola,(Elite of Irvine DC),0,0,1,0,1,0,0,0,-1,1,0,0
Loyola,(Harvard-Westlake CC),0,1,1,1,0,1,1,0,1,1,0,1
Loyola,(Harvard-Westlake EC),1,0,0,0,0,0,1,1,1,0,-1,1
Loyola,(Harvard-Westlake EE),0,1,1,1,0,1,1,0,0,1,1,0
Loyola,(Harvard-Westlake IP),0,1,1,0,0,0,1,0,1,1,0,1
Loyola,(Harvard-Westlake NS),0,1,1,1,1,1,0,0,1,1,0,0
Loyola,(Harvard-Westlake WP),0,1,1,1,0,0,1,0,0,0,1,1
Loyola,(HWMS ER),1,0,0,0,0,1,1,0,0,0,1,1
Loyola,(HWMS JD),1,0,0,0,1,1,0,1,1,0,0,0
Loyola,(HWMS KK),1,0,0,0,0,0,1,1,1,0,0,0
Loyola,(HWMS LM),0,0,1,0,0,1,1,1,1,1,0,0
Loyola,(HWMS NP),-1,1,0,1,0,0,1,0,0,0,1,1
Loyola,(Immaculate Heart DD),0,0,1,1,0,1,1,1,1,0,0,1
Loyola,(Immaculate Heart DE),0,0,1,0,1,0,-1,1,0,0,1,1
Loyola,(Immaculate Heart LM),0,0,1,0,0,1,1,1,1,1,0,1
Loyola,(La Canada AZ),0,1,1,1,0,0,1,0,1,1,0,1
Loyola,(La Reina EP),1,1,0,1,1,1,0,0,0,0,1,0
Loyola,(La Reina ES),1,1,0,0,1,0,0,0,0,1,1,0
Loyola,(Los Altos DV),0,1,1,0,1,0,0,1,0,0,1,0
Loyola,(Los Altos JN),1,1,0,1,1,1,0,0,0,1,1,1
Loyola,(Los Altos SN),1,1,0,1,1,0,0,1,1,1,0,1
Loyola,(Lynbrook CW),0,0,1,0,1,1,0,0,0,1,1,0
Loyola,(Lynbrook HW),1,1,0,0,0,0,1,1,0,1,1,1
Loyola,(Lynbrook NA),1,1,0,1,1,0,0,0,1,1,0,0
Loyola,(Lynbrook NS),1,0,0,1,1,1,0,1,1,0,0,1
Loyola,(Lynbrook VV),0,1,1,0,0,0,1,1,1,1,0,1
Loyola,(Lynbrook YZ),1,0,0,0,-1,1,0,0,1,1,0,0
Loyola,(Marlborough AG),0,1,1,1,1,0,0,1,0,0,1,1
Loyola,(Marlborough CC),0,0,1,0,0,0,1,1,0,0,1,0
Loyola,(Marlborough MC),0,1,1,0,0,0,1,1,0,0,1,0
Loyola,(Meadows AT),1,0,0,1,0,1,1,1,0,0,1,1
Loyola,(Meadows KB),0,1,1,1,0,0,1,1,1,0,0,1
Loyola,(Mountain View VP),1,0,0,1,0,1,1,0,1,1,0,0
Loyola,(MV Independent LH),1,0,0,0,1,1,0,0,0,0,1,1
Loyola,(MV Independent OZ),0,0,1,1,1,1,0,1,1,0,0,1
Loyola,(Oakwood School - North Hollywood AB),0,1,1,0,1,1,0,1,1,0,0,0
Loyola,(Oakwood School - North Hollywood AM),0,1,1,0,1,1,0,0,1,1,0,1
Loyola,(Oakwood School - North Hollywood JG),0,1,1,1,1,0,0,0,0,0,1,1
Loyola,(Oakwood School - North Hollywood JS),1,1,0,0,1,1,0,1,0,1,1,0
Loyola,(Palo Alto (Independent) AL),0,1,1,1,0,1,1,1,1,0,0,1
Loyola,(Palo Alto (Independent) CF),1,1,0,0,1,0,0,0,1,1,0,0
Loyola,(Palo Alto (Independent) ET),0,1,1,0,1,1,0,0,0,0,1,1
Loyola,(Palo Alto (Independent) FZ),0,0,1,1,1,0,0,0,0,1,1,0
Loyola,(Peninsula IG),0,1,1,1,1,0,0,1,1,0,0,1
Loyola,(Peninsula JL),1,0,0,1,0,1,1,1,0,1,1,1
Loyola,(Peninsula JLe),1,0,0,0,1,1,0,0,0,1,1,0
Loyola,(Peninsula KK),1,1,0,1,0,1,1,1,1,1,0,1
Loyola,(Servite PA),1,0,0,1,1,1,0,0,0,1,1,0
Loyola,(Skyline EF),0,1,1,0,1,1,0,1,0,1,1,0
Loyola,(West Ranch JW),0,0,1,1,0,0,1,0,1,0,0,1
Loyola,(Yucca Valley DA),0,0,1,1,1,0,0,0,1,0,0,1
