Seed,min1,mindiff1,max1,maxdiff1,avg1,avgdiff1,min2,mindiff1,max2,maxdiff2,avg2,avgdiff2,min3,mindiff3,max3,maxdiff3,avg3,avgdiff3,min4,mindiff4,max4,maxdiff4,avg4,avgdiff4
1,16,-15,17,-16,16.5,-15.5,8,-7,9,-8,8.5,-7.5,4,-3,12,-11,8,-7,2,-1,6,-5,4,-3
32,16,16,17,15,16.5,15.5,8,24,9,23,8.5,23.5,4,28,12,20,8,24,2,30,6,26,4,28
16,1,15,32,-16,16.5,-0.5,8,8,9,7,8.5,7.5,4,12,12,4,8,8,2,14,6,10,4,12
17,1,16,32,-15,16.5,0.5,8,9,9,8,8.5,8.5,4,13,12,5,8,9,2,15,6,11,4,13
9,8,1,25,-16,16.5,-7.5,1,8,17,-8,9,0,4,5,12,-3,8,1,2,7,6,3,4,5
24,8,16,25,-1,16.5,7.5,1,23,17,7,9,15,4,20,12,12,8,16,2,22,6,18,4,20
8,9,-1,24,-16,16.5,-8.5,1,7,17,-9,9,-1,4,4,12,-4,8,0,2,6,6,2,4,4
25,9,16,24,1,16.5,8.5,1,24,17,8,9,16,4,21,12,13,8,17,2,23,6,19,4,21
4,13,-9,20,-16,16.5,-12.5,5,-1,12,-8,8.5,-4.5,1,3,8,-4,4.5,-0.5,2,2,6,-2,4,0
29,13,16,20,9,16.5,12.5,5,24,12,17,8.5,20.5,1,28,8,21,4.5,24.5,2,27,6,23,4,25
13,4,9,29,-16,16.5,-3.5,5,8,12,1,8.5,4.5,1,12,8,5,4.5,8.5,2,11,6,7,4,9
20,4,16,29,-9,16.5,3.5,5,15,12,8,8.5,11.5,1,19,8,12,4.5,15.5,2,18,6,14,4,16
12,5,7,28,-16,16.5,-4.5,4,8,20,-8,12,0,1,11,8,4,4.5,7.5,2,10,6,6,4,8
21,5,16,28,-7,16.5,4.5,4,17,20,1,12,9,1,20,8,13,4.5,16.5,2,19,6,15,4,17
5,12,-7,21,-16,16.5,-11.5,4,1,20,-15,12,-7,1,4,8,-3,4.5,0.5,2,3,6,-1,4,1
28,12,16,21,7,16.5,11.5,4,24,20,8,12,16,1,27,8,20,4.5,23.5,2,26,6,22,4,24
2,15,-13,18,-16,16.5,-14.5,7,-5,10,-8,8.5,-6.5,3,-1,6,-4,4.5,-2.5,1,1,12,-10,6.5,-4.5
31,15,16,18,13,16.5,14.5,7,24,10,21,8.5,22.5,3,28,6,25,4.5,26.5,1,30,12,19,6.5,24.5
15,2,13,31,-16,16.5,-1.5,7,8,10,5,8.5,6.5,3,12,6,9,4.5,10.5,1,14,12,3,6.5,8.5
18,2,16,31,-13,16.5,1.5,7,11,10,8,8.5,9.5,3,15,6,12,4.5,13.5,1,17,12,6,6.5,11.5
10,7,3,26,-16,16.5,-6.5,2,8,5,5,3.5,6.5,3,7,6,4,4.5,5.5,1,9,12,-2,6.5,3.5
23,7,16,26,-3,16.5,6.5,2,21,5,18,3.5,19.5,3,20,6,17,4.5,18.5,1,22,12,11,6.5,16.5
7,10,-3,23,-16,16.5,-9.5,2,5,5,2,3.5,3.5,3,4,6,1,4.5,2.5,1,6,12,-5,6.5,0.5
26,10,16,23,3,16.5,9.5,2,24,5,21,3.5,22.5,3,23,6,20,4.5,21.5,1,25,12,14,6.5,19.5
3,14,-11,19,-16,16.5,-13.5,6,-3,11,-8,8.5,-5.5,2,1,10,-7,6,-3,1,2,12,-9,6.5,-3.5
30,14,16,19,11,16.5,13.5,6,24,11,19,8.5,21.5,2,28,10,20,6,24,1,29,12,18,6.5,23.5
14,3,11,30,-16,16.5,-2.5,6,8,11,3,8.5,5.5,2,12,10,4,6,8,1,13,12,2,6.5,7.5
19,3,16,30,-11,16.5,2.5,6,13,11,8,8.5,10.5,2,17,10,9,6,13,1,18,12,7,6.5,12.5
11,6,5,27,-16,16.5,-5.5,3,8,19,-8,11,0,2,9,10,1,6,5,1,10,12,-1,6.5,4.5
22,6,16,27,-5,16.5,5.5,3,19,19,3,11,11,2,20,10,12,6,16,1,21,12,10,6.5,15.5
6,11,-5,22,-16,16.5,-10.5,3,3,19,-13,11,-5,2,4,10,-4,6,0,1,5,12,-6,6.5,-0.5
27,11,16,22,5,16.5,10.5,3,24,19,8,11,16,2,25,10,17,6,21,1,26,12,15,6.5,20.5
