School,State,Abbreviation,Points
A & M Consolidated HS,Texas,TX,89
Aberdeen Central HS,South Dakota,SD,445
Abilene HS,Kansas,KS,138
Acadiana HS,Louisiana,LA,80
Acton-Boxborough Regional HS,Massachusetts,MA,195
Advanced Technologies Acad,Nevada,NV,115
Aiea HS,Hawaii,HI,75
Air Academy HS,Colorado,CO,180
Albuquerque Academy,New Mexico,NM,156
Alexander Dawson School,Colorado,CO,67
Alhambra HS,California,CA,489
Alief Taylor HS,Texas,TX,114
All Saints Episcopal School,Texas,TX,137
All Saints Episcopal School - Lubbock,Texas,TX,52
Alonzo & Tracy Mourning Sr. High,Florida,FL,14
Alpharetta HS,Georgia,GA,85
Amarillo HS,Texas,TX,102
American Heritage HS - Delray Beach,Florida,FL,79
American Heritage School - Plantation,Florida,FL,307
Americas HS,Texas,TX,114
Ames HS,Iowa,IA,92
Andover Central HS,Kansas,KS,210
Andover HS,Kansas,KS,166
Andover HS,Minnesota,MN,123
Andrews HS,Texas,TX,55
Angola HS,Indiana,IN,48
Antelope HS,California,CA,90
Apopka Sr HS,Florida,FL,44
Apple Valley HS,Minnesota,MN,454
Appleton East HS,Wisconsin,WI,270
Appleton North HS,Wisconsin,WI,72
Appleton West HS,Wisconsin,WI,36
Arcadia HS,California,CA,165
Archbishop Mitty HS,California,CA,183
Ardmore HS,Oklahoma,OK,149
Ardrey Kell HS,North Carolina,NC,317
Arroyo HS,California,CA,223
Asheville HS,North Carolina,NC,278
Ashland HS,Oregon,OR,239
Assumption HS,Kentucky,KY,123
Athens HS,Texas,TX,71
Aurora HS,Missouri,MO,101
Austintown Fitch HS,Ohio,OH,195
Ball HS,Texas,TX,100
Baltimore City College HS,Maryland,MD,111
Bandon HS,Oregon,OR,88
Bangor HS,Maine,ME,127
Bartlesville HS,Oklahoma,OK,159
BASIS DC PCS,District of Columbia,DC,24
BASIS Scottsdale HS,Arizona,AZ,107
Battle Creek Central HS,Michigan,MI,37
Battle Ground Academy,Tennessee,TN,118
Battle Mountain HS,Colorado,CO,79
Bear Creek HS,California,CA,86
Bear Creek HS,Colorado,CO,156
Beaver HS,Utah,UT,113
Beavercreek HS,Ohio,OH,152
Beechwood HS,Kentucky,KY,83
Belen Jesuit Prep School,Florida,FL,121
Bellaire HS,Texas,TX,544
Bellarmine College Prep,California,CA,336
Belleville Township (East) HS,Illinois,IL,43
Belleville West HS,Illinois,IL,192
Bellevue West HS,Nebraska,NE,109
Bellwood-Antis HS,Pennsylvania,PA,61
Belton HS,Missouri,MO,160
Bemidji HS,Minnesota,MN,114
Ben Davis HS,Indiana,IN,185
Bentley School,California,CA,106
Berkeley HS,South Carolina,SC,23
Berkeley Preparatory School,Florida,FL,52
Berlin Brothersvalley HS,Pennsylvania,PA,34
Bethany Christian HS,Indiana,IN,94
Bethel Park HS,Pennsylvania,PA,181
Bettendorf HS,Iowa,IA,124
Big Spring HS,Texas,TX,109
Bingham HS,Utah,UT,209
BioTech @ Richmond Heights 9-12,Florida,FL,34
Bishop Dwenger HS,Indiana,IN,97
Bishop Heelan HS,Iowa,IA,106
Bishop Kelley HS,Oklahoma,OK,125
Bishop Manogue Catholic HS,Nevada,NV,75
Bishop McGuinness HS,Oklahoma,OK,120
Bishop Miege HS,Kansas,KS,214
Bixby HS,Oklahoma,OK,266
Blackfoot HS,Idaho,ID,306
Blacksburg HS,Utah,VA,51
Blaine HS,Minnesota,MN,237
Bloomington HS,Illinois,IL,16
Bloomington Jefferson HS,Minnesota,MN,150
Blue Springs HS,Missouri,MO,389
Blue Springs South HS,Missouri,MO,441
Blue Valley HS,Kansas,KS,457
Blue Valley North HS,Kansas,KS,752
Blue Valley Southwest HS,Kansas,KS,169
Blue Valley West HS,Kansas,KS,295
Bob Jones Academy,South Carolina,SC,155
Boca Raton Community HS,Florida,FL,328
Boise HS,Idaho,ID,103
Bolivar R 1 HS,Missouri,MO,167
Bonita Vista HS,California,CA,206
Bonneville HS,Idaho,ID,326
Braddock HS,Florida,FL,262
Bradley Tech HS,Wisconsin,WI,82
Brandon Valley HS,South Dakota,SD,101
Brebeuf Jesuit Preparatory School,Indiana,IN,167
Brecksville Broadview Hts HS,Ohio,OH,151
Brentwood Academy,Tennessee,TN,95
Brentwood HS,Tennessee,TN,204
Bridgewater-Raritan Regional HS,New Jersey,NJ,205
Broad Run HS,Utah,VA,114
Broken Arrow HS,Oklahoma,OK,110
Brookfield East HS,Wisconsin,WI,212
Brookhaven HS,Mississippi,MS,74
Brookhaven HS,Mississippi,MS,74
Brookings HS,South Dakota,SD,255
Brophy College Prep,Arizona,AZ,185
Brunswick HS,Maine,ME,71
Buchanan HS,California,CA,37
Buffalo Grove HS,Illinois,IL,206
Buffalo HS,Texas,TX,51
Buffalo HS,Wyoming,WY,61
Buhler HS,Kansas,KS,149
Bullard HS,California,CA,191
Burges HS,Texas,TX,60
Burlington Community HS,Iowa,IA,38
Butte Falls Charter School,Oregon,OR,57
Byram Hills HS,New York,NY,36
Byron Nelson HS,Texas,TX,106
Caddo Mills HS,Texas,TX,132
Cajon High School,California,CA,129
Camdenton HS,Missouri,MO,166
Campbell County HS,Wyoming,WY,86
Campus HS,Kansas,KS,270
Caney Valley HS,Kansas,KS,113
Canfield HS,Ohio,OH,355
Canon City HS,Colorado,CO,112
